S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Other,More than a bachelor's degree,65000,More important than salary,Equally important,Less important than salary,Equally important,More important than salary,Less important than salary,Bachelor's degree,0.2581,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,23.1592015625061
Education,More than a bachelor's degree,40000,More important than salary,More important than salary,Less important than salary,More important than salary,More important than salary,Equally important,More than a bachelor's degree,1.0783,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,346.495439926837
Healthcare,More than a bachelor's degree,50,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.4874,Diploma,City,South,Attained associate's degree,Enrolled in postsecondary education and employed part-time,381.623104283781
Business and Management,Bachelor's degree,60000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Bachelor's degree,0.2918,Diploma,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,387.829510854779
Don't Know,Some college,45000,Equally important,Equally important,More important than salary,Equally important,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.2902,Diploma,Town,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,103.660965013956
Healthcare,More than a bachelor's degree,80000,More important than salary,Equally important,More important than salary,More important than salary,More important than salary,More important than salary,"High school diploma, equivalent, or less",0.0335,Diploma,Suburb,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,288.169602950282
Business and Management,Bachelor's degree,55000,Equally important,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,Associate's degree,-0.6254,Diploma,Suburb,Northeast,Attained associate's degree,Enrolled in postsecondary education and employed part-time,244.821006686162
Trades and technical,More than a bachelor's degree,40000,More important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-1.0141,"GED, other HS equivalency, or certificate of attendance",City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,112.907836708206
Education,Bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.8054,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,24.1653965583655
Don't Know,Bachelor's degree,150000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.4832,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,373.943356308377
Don't Know,Some college,40000,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-1.0201,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,252.83386567532
Healthcare,More than a bachelor's degree,150000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.4715,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,54.9800584243684
Healthcare,"High school diploma, equivalent, or less",30000,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Equally important,Less than high school,-1.2628,No HS credential,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,613.922370763258
Business and Management,More than a bachelor's degree,50000,Equally important,More important than salary,Equally important,More important than salary,Equally important,Equally important,More than a bachelor's degree,1.7272,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,91.2547756587574
Arts and entertainment,Associate's degree,60000,More important than salary,Equally important,More important than salary,Equally important,Less important than salary,Equally important,More than a bachelor's degree,0.398,Diploma,Rural,Midwest,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,283.318176552148
Business and Management,Bachelor's degree,60000,More important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,1.1567,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,250.231023679953
Service,Bachelor's degree,40000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,More than a bachelor's degree,0.9672,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,83.432322980588
Don't Know,Bachelor's degree,150000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.4548,Diploma,City,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,41.1034646139943
